,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
198,Hallertau Aroma,6.5,8.5,Perle,A dual purpose hop which has been used to replace Perle,wheat-beer
199,Hallertauer,3.5,5.5,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy.",wheat-beer
200,Hallertauer Gold,6.0,6.5,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.,wheat-beer
201,Hallertauer Mittelfrüh,3.0,5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,wheat-beer
202,Hallertauer Tradition,3.5,5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,wheat-beer
203,Hersbrucker,3.0,5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",wheat-beer
204,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",wheat-beer
205,Lemondrop,5.0,7.0,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",wheat-beer
206,Liberty,3.0,6.0,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",wheat-beer
207,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,wheat-beer
208,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,wheat-beer
209,Mt. Hood,3.0,8.0,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",wheat-beer
210,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,wheat-beer
211,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,wheat-beer
212,Northwest Golding,4.0,5.0,,Known for aromatic properties.,wheat-beer
213,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,wheat-beer
214,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",wheat-beer
215,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,wheat-beer
216,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,wheat-beer
217,Pacifica,5.0,6.0,Hallertau family,An aroma hop with some citrus and floral character,wheat-beer
218,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",wheat-beer
219,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",wheat-beer
220,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",wheat-beer
221,Polaris,18.0,24.0,,"Minty, icy quality.",wheat-beer
222,Rakau,9.0,11.0,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers.",wheat-beer
223,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",wheat-beer
224,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",wheat-beer
