,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
822,Dave Scatchard,23,C,TOT,65,12,18,30,-3,117,11,0,1,1,18,0,0,128,9.4,817,12:34,2.9
823,Dave Scatchard,23,C,NYI,44,12,14,26,0,93,11,0,1,1,14,0,0,103,11.7,603,13:42,3.0
824,Dave Scatchard,23,C,VAN,21,0,4,4,-3,24,0,0,0,0,4,0,0,25,0.0,214,10:12,-0.1
825,Peter Schaefer,22,LW,VAN,71,16,15,31,0,20,12,2,2,4,5,7,3,101,15.8,1098,15:28,2.9
826,Petr Schastlivy,20,LW,OTT,13,2,5,7,4,2,1,1,0,1,4,1,0,22,9.1,160,12:18,0.8
827,Mathieu Schneider,30,D,NYR,80,10,20,30,-6,78,7,3,0,1,9,11,0,228,4.4,1801,22:31,5.8
828,Ray Schultz,23,D,NYI,9,0,1,1,1,30,0,0,0,0,1,0,0,2,0.0,129,14:18,0.3
829,Darrel Scoville,24,D,CGY,6,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,56,9:18,0.1
830,Teemu Selanne,29,RW,MDA,79,33,52,85,6,12,25,8,0,6,29,23,0,236,14.0,1795,22:44,9.3
831,Alex Selivanov,28,RW,EDM,67,27,20,47,2,46,17,10,0,5,15,5,0,122,22.1,969,14:28,6.1
832,Brendan Shanahan,31,LW,DET,78,41,37,78,24,105,27,13,1,9,19,16,2,283,14.5,1449,18:35,10.5
833,Darryl Shannon,31,D,TOT,76,6,21,27,-27,87,5,1,0,1,12,9,0,112,5.4,1682,22:08,3.3
834,Darryl Shannon,31,D,ATL,49,5,13,18,-14,65,4,1,0,1,8,5,0,66,7.6,1046,21:21,2.7
835,Darryl Shannon,31,D,CGY,27,1,8,9,-13,22,1,0,0,0,4,4,0,46,2.2,636,23:33,0.6
